customer_id,churn_label
CUST-000001,0
CUST-000002,0
CUST-000003,0
CUST-000004,0
CUST-000005,0
CUST-000006,0
CUST-000007,0
CUST-000008,0
CUST-000009,1
CUST-000010,1
CUST-000011,1
CUST-000012,0
CUST-000013,0
CUST-000014,0
CUST-000015,0
CUST-000016,1
CUST-000017,0
CUST-000018,1
CUST-000019,0
CUST-000020,0
CUST-000021,0
CUST-000022,0
CUST-000023,0
CUST-000024,0
CUST-000025,0
CUST-000026,1
CUST-000027,1
CUST-000028,1
CUST-000029,0
CUST-000030,0
CUST-000031,0
CUST-000032,0
CUST-000033,1
CUST-000034,1
CUST-000035,0
CUST-000036,1
CUST-000037,0
CUST-000038,0
CUST-000039,0
CUST-000040,0
CUST-000041,1
CUST-000042,0
CUST-000043,0
CUST-000044,1
CUST-000045,0
CUST-000046,0
CUST-000047,1
CUST-000048,1
CUST-000049,0
CUST-000050,1
CUST-000051,1
CUST-000052,1
CUST-000053,0
CUST-000054,0
CUST-000055,0
CUST-000056,0
CUST-000057,0
CUST-000058,0
CUST-000059,0
CUST-000060,1
CUST-000061,0
CUST-000062,1
CUST-000063,0
CUST-000064,0
CUST-000065,0
CUST-000066,0
CUST-000067,0
CUST-000068,1
CUST-000069,1
CUST-000070,1
CUST-000071,1
CUST-000072,1
CUST-000073,0
CUST-000074,0
CUST-000075,0
CUST-000076,1
CUST-000077,1
CUST-000078,0
CUST-000079,0
CUST-000080,0
CUST-000081,0
CUST-000082,0
CUST-000083,0
CUST-000084,0
CUST-000085,0
CUST-000086,0
CUST-000087,0
CUST-000088,0
CUST-000089,0
CUST-000090,0
CUST-000091,1
CUST-000092,0
CUST-000093,0
CUST-000094,1
CUST-000095,0
CUST-000096,0
CUST-000097,0
CUST-000098,1
CUST-000099,0
CUST-000100,0
CUST-000101,0
CUST-000102,0
CUST-000103,1
CUST-000104,0
CUST-000105,0
CUST-000106,0
CUST-000107,1
CUST-000108,0
CUST-000109,0
CUST-000110,0
CUST-000111,1
CUST-000112,0
CUST-000113,1
CUST-000114,0
CUST-000115,0
CUST-000116,0
CUST-000117,0
CUST-000118,0
CUST-000119,1
CUST-000120,0
CUST-000121,0
CUST-000122,0
CUST-000123,0
CUST-000124,0
CUST-000125,0
CUST-000126,0
CUST-000127,0
CUST-000128,0
CUST-000129,1
CUST-000130,0
CUST-000131,1
CUST-000132,0
CUST-000133,0
CUST-000134,0
CUST-000135,0
CUST-000136,0
CUST-000137,0
CUST-000138,0
CUST-000139,0
CUST-000140,0
CUST-000141,1
CUST-000142,0
CUST-000143,0
CUST-000144,0
CUST-000145,1
CUST-000146,1
CUST-000147,0
CUST-000148,0
CUST-000149,0
CUST-000150,1
CUST-000151,0
CUST-000152,0
CUST-000153,0
CUST-000154,0
CUST-000155,1
CUST-000156,0
CUST-000157,0
CUST-000158,0
CUST-000159,0
CUST-000160,0
CUST-000161,0
